Username,Job Title,Department
vanessa_data_ai,PRINCIPAL PROGRAM MANAGER,Power BI CAT_c
vengateshp,PRINCIPAL PROGRAM MANAGER,Power BI CAT - Netherlands
monitor-pm,SENIOR PRODUCT MANAGER,Azure Data RnD 1010
hot-neighborhood-947,PRINCIPAL PRODUCT MANAGER,M&A Project Orbit 1010
viniciusfontes,Principal Software Engineer,R&D Data - ADF 1010
vmroman,SENIOR PRODUCT MANAGER,Data Science & AI COGS
vladiv-msft,PRINCIPAL PRODUCT MANAGER,New R D Serbia SQL 1866
weehyong,PARTNER DIRECTOR PM,Data Integration HQ R&D
will_mi77,PRINCIPAL GROUP PRODUCT MANAGE,Sovereign Azure Data Buildout US
williamwwang,SENIOR PRODUCT MANAGER,Sovereign Azure Data Buildout US
simplywilsonlee,PRINCIPAL PROGRAM MANAGER,Data Integration
xiaolel,SR SOFTWARE ENG MGR,Data Engineering R&D 1107
beautiful-cash-4190,PRINCIPAL PM ARCHITECT,Azure Data - Aliso Viejo
just_an_owl_1,Senior Software Engineer,Data Engineering R&D 1107
jimbite,SENIOR PRODUCT MANAGER,PBI Platform PM R&D IL
datalumberjack,SENIOR PRODUCT MANAGER,Sovereign Azure Data Buildout US
yaroncan,PRINCIPAL PM LEAD,PBI Platform PM R&D IL
cicdexperience05,SENIOR PRODUCT MANAGER,PBI Platform PM R&D IL
ms-yexu,PRINCIPAL PROGRAM MANAGER,Data Integration
yichao_msft,SENIOR PROGRAM MANAGER,Platform PM R&D CA
outrageous_scale_84,Sr Product Mgr,PBI Platform PM R&D IL
ylchen_,PRODUCT MANAGER 2,R&D Data- SQL & Migration-1010
zahala_msft,Senior Software Engineer,Data Integration
msnotebookservice,Senior Software Engineer,Data Engineering R&D 1107
crafty_abalone_2673,SENIOR PRODUCT MANAGER,PBI Platform PM R&D IL
datazoems,PRINCIPAL PRODUCT MANAGER,Intelligent user experience
ctrl_shift_-,SENIOR PROGRAM MANAGER,New R D Serbia SQL 1866
